State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Alabama,2002,380805,499453,2812905,18,68,138,48.336,136.49,49.068,57,254,1048,150.033,509.551,372.703,52,196,728,136.906,392.404,258.844,6,27,49,16.556,54.892,17.513,20,18,2,59.732,62.325,0.914,24,62,73,63.662,124.672,25.967,49,119,141,127.535,237.88,50.275,63,226,930,166.578,451.976,330.659
California,2002,3140739,3919577,21392421,173,581,1298,55.109,148.312,60.692,480,2176,11847,152.791,555.278,553.8009999999999,235,1245,4028,74.824,317.661,188.269,53,259,410,16.995,66.05199999999999,19.184,158,126,17,58.786,62.67399999999999,1.4369999999999998,241,631,978,76.595,160.916,45.736,443,1109,1670,141.067,282.887,78.068,290,1377,4721,92.235,351.353,220.699
Florida,2002,1346297,1576278,11066322,73,266,620,53.965,168.893,56.042,234,940,6162,173.50199999999998,596.576,556.781,165,579,2610,122.611,367.507,235.882,26,108,220,19.419,68.27600000000001,19.887,77,52,8,67.541,64.396,1.167,115,279,526,85.194,176.802,47.513,217,470,900,161.342,298.324,81.349,193,655,3089,143.35899999999998,415.541,279.116
Hawaii,2002,103803,122789,761280,7,22,45,64.197,181.383,59.655,19,72,390,179.60899999999998,585.743,512.835,9,42,166,87.795,343.201,217.747,2,7,9,17.017,55.153,11.654,6,5,0,70.172,89.015,0.719,11,21,37,102.273,169.993,49.01,19,37,59,180.861,302.008,77.044,13,45,186,123.329,365.9,243.703
Michigan,2002,895753,1091376,6298792,57,200,444,64.189,182.904,70.502,172,724,3561,192.279,662.9770000000001,565.3629999999999,122,467,1747,135.937,428.101,277.355,19,68,128,20.767,62.648,20.267,51,39,4,67.834,76.569,1.363,83,202,312,92.345,184.877,49.524,153,353,539,170.32,323.818,85.498,142,520,2036,158.902,476.4,323.166
Nevada,2002,184670,215631,1379759,13,35,95,69.304,161.86100000000002,68.76,34,122,747,183.959,563.721,541.201,24,78,441,127.314,364.012,319.471,4,16,23,19.736,73.462,16.556,12,6,1,84.232,60.78,1.509,18,39,78,95.757,182.867,56.828,36,63,115,196.742,290.153,83.078,28,91,503,153.051,423.759,364.718
New York,2002,1562426,2036478,12316861,87,323,727,55.929,158.409,59.004,305,1310,7093,194.95,643.389,575.879,185,818,3050,118.097,401.675,247.615,22,141,248,14.14,69.253,20.154,93,81,8,68.483,80.16,1.177,137,437,593,87.551,214.4,48.169,250,684,1010,159.821,335.951,82.012,200,889,3498,127.82099999999998,436.408,283.994
Pennsylvania,2002,1028108,1290045,8009346,55,233,427,53.442,180.818,53.342,186,837,4256,180.594,648.47,531.38,151,578,2129,147.341,447.779,265.85900000000004,15,85,144,14.852,66.223,17.926000000000002,60,47,5,66.53,75.078,1.021,84,228,270,81.782,176.56199999999998,33.748,157,386,477,152.37,299.531,59.498000000000005,172,647,2582,167.494,501.746,322.407
Texas,2002,2018953,2512206,12788834,118,422,780,58.449,167.846,60.979,355,1457,6376,175.641,579.855,498.598,235,984,3208,116.542,391.825,250.87500000000003,52,167,203,25.834,66.628,15.841,114,77,14,65.191,55.505,1.399,129,323,377,63.776,128.555,29.508,281,560,641,139.097,222.794,50.138000000000005,272,1067,3801,134.548,424.743,297.251
Alabama,2003,381563,503783,2834977,18,68,135,48.108,135.339,47.755,60,260,1137,156.79299999999998,517.024,400.951,51,200,779,134.81199999999998,396.331,274.90500000000003,6,28,46,15.842,56.283,16.102,19,16,2,57.088,58.363,1.287,25,69,81,64.254,137.853,28.499,51,127,156,134.02,252.083,55.134,67,238,994,174.33499999999998,472.788,350.657
